source_id;job_title;company;location;job_url;salary_avg;salary_range_id;f_education_d3;f_education_s1;f_education_s2;f_ipk_required;f_min_gpa;f_major_it;f_major_engineering;f_major_business;f_academic_achievement;f_scholarship;f_transcript_required;f_certificate_required;f_english_required;f_computer_skill_required;f_portfolio_required;f_project_required;f_organization_required;f_leadership_required;f_student_cadre_proxy;f_event_committee;f_communication_required;f_teamwork_required;f_internship_required;f_fresh_graduate_allowed;f_work_experience_required;f_experience_years_min;job_family;region_group;salary_range_label
7546;Sales Marketing & Operation Intern;PT Garda Tani Indonesia;Surabaya;https://id.jobstreet.com/id/job/92126331?type=standard&ref=search-standalone&origin=cardTitle#sol=0456fb5d706a69e09d807e755a42811e645a2a42;790000.0;0.0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;business;jawa timur;0 sampai < 1 juta
7551;Freelance Teknisi Mesin EDC - Prabumulih;PT. Pasifik Cipta Solusi;Prabumulih;https://id.jobstreet.com/id/job/92222685?type=standard&ref=search-standalone&origin=cardTitle#sol=61573630b442f206ce1b365f12150a0db76d0afa;875000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;other;lainnya;0 sampai < 1 juta
7558;Female IT (Intern);Wzone Gym Studio;Yogyakarta;https://id.jobstreet.com/id/job/92414151?type=standard&ref=search-standalone&origin=cardTitle#sol=50932a171ccac68dce1c7fe2645a5feced8fe861;600000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;software;jawa tengah diy;0 sampai < 1 juta
7584;Program Magang WFH;PT Teknologi Solusi Mulai dari Ringan;Bandung;https://id.jobstreet.com/id/job/92249155?type=standard&ref=search-standalone&origin=cardTitle#sol=2e22049e63e224e92068369daf1efd9e8ae5fcec;500000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;business;jawa barat;0 sampai < 1 juta
7585;Internship Tax & Acc;GCK Consulting;Tangerang;https://id.jobstreet.com/id/job/92155196?type=standard&ref=search-standalone&origin=cardTitle#sol=980b8927b723ce013f882a24cbd5d916945e3bcb;600000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;finance;jabodetabek;0 sampai < 1 juta
7593;Part-time Kitchen Staff (Shift Malam);Gin Soba;Sleman;https://id.jobstreet.com/id/job/92286111?type=standard&ref=search-standalone&origin=cardTitle#sol=818a1367c07ea030d85def315518c6a04fcc4f4a;600000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;other;lainnya;0 sampai < 1 juta
7600;Affiliate Specialist (On Site Freelance);PT Ramajaya Inovasi Indonesia;Tulungagung;https://id.jobstreet.com/id/job/92219571?type=standard&ref=search-standalone&origin=cardTitle#sol=d2be49fc9d939f1dacfeb785d968423af805a110;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;business;lainnya;0 sampai < 1 juta
7634;Sales Promotion;The Barkery Bali;Denpasar Utara;https://id.jobstreet.com/id/job/92363607?type=standard&ref=search-standalone&origin=cardTitle#sol=2fb996a55a148fc9c006277ad87813af276bdaea;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;business;lainnya;0 sampai < 1 juta
7644;Freelance Aquarist;Finnymate;Kabupaten Bekasi;https://id.jobstreet.com/id/job/92408053?type=standard&ref=search-standalone&origin=cardTitle#sol=6ded5f9cbe137c285a3483cc845001c1b28dc071;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;other;jabodetabek;0 sampai < 1 juta
7645;Internship;Jogja Digital Academy;Kabupaten Bantul;https://id.jobstreet.com/id/job/92152180?type=standard&ref=search-standalone&origin=cardTitle#sol=2edd642e22f8aae6d2e0cafde0e3826ffabc13cf;900000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;business;lainnya;0 sampai < 1 juta
